City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
215,Anito,PH,2021-01-20 21:08:43,12.4497,125.2886,78.62,88,98,6.67
216,Whitehorse,CA,2021-01-20 21:08:43,60.7161,-135.0538,10.4,85,20,3.24
217,Sechura,PE,2021-01-20 21:08:43,-5.5569,-80.8222,81.01,53,81,15.32
218,Monte Alegre De Sergipe,BR,2021-01-20 21:08:43,-10.0272,-37.5622,79.5,63,73,15.86
219,Hithadhoo,MV,2021-01-20 21:08:43,-0.6,73.0833,81.66,73,73,10.92
220,Manzhouli,CN,2021-01-20 21:08:43,49.6,117.4333,2.59,90,99,5.39
221,Amapa,BR,2021-01-20 21:08:44,1.0,-52.0,72.61,97,100,1.61
222,Nemuro,JP,2021-01-20 21:08:44,43.3236,145.575,19.72,88,96,9.91
223,Leningradskiy,RU,2021-01-20 21:08:44,69.3833,178.4167,-25.46,79,52,3.4
224,The Valley,AI,2021-01-20 21:08:44,18.217,-63.0578,80.6,65,20,13.8
225,Khandagayty,RU,2021-01-20 21:08:44,50.7333,92.05,-4.29,80,71,0.6
226,Lompoc,US,2021-01-20 21:07:28,34.6391,-120.4579,75.2,22,0,3.44
227,Bichura,RU,2021-01-20 21:08:45,50.5881,107.6022,-1.14,87,35,0.54
228,Le Port,RE,2021-01-20 21:08:45,-20.9373,55.2919,78.8,83,75,3.44
229,Touros,BR,2021-01-20 21:08:45,-5.1989,-35.4608,80.6,74,40,14.97
230,Pucallpa,PE,2021-01-20 21:04:21,-8.3791,-74.5539,80.6,69,75,6.91
231,Atasu,KZ,2021-01-20 21:08:45,48.6814,71.6433,18.46,97,100,3.67
232,Naze,JP,2021-01-20 21:08:45,28.3667,129.4833,61.27,82,92,15.43
233,Ilheus,BR,2021-01-20 21:08:46,-14.7889,-39.0494,77.31,75,3,7.4
234,Halifax,CA,2021-01-20 21:05:21,44.6453,-63.5724,32.0,40,75,4.61
235,Barrow,US,2021-01-20 21:08:46,71.2906,-156.7887,-2.2,78,90,12.66
236,Grand Gaube,MU,2021-01-20 21:08:46,-20.0064,57.6608,81.0,84,40,3.0
237,Verkhoyansk,RU,2021-01-20 21:08:46,67.5447,133.385,-31.74,81,100,1.74
238,Yangmei,CN,2021-01-20 21:08:46,24.1023,112.5618,56.52,92,96,0.76
239,Tilichiki,RU,2021-01-20 21:08:46,60.4667,166.1,-20.61,88,89,13.78
240,Wanaka,NZ,2021-01-20 21:08:19,-44.7,169.15,48.56,77,95,4.74
241,Itoman,JP,2021-01-20 21:08:47,26.1247,127.6694,69.8,73,75,8.05
242,Manggar,ID,2021-01-20 21:08:47,-2.8833,108.2667,78.73,83,100,9.8
243,Bilma,NE,2021-01-20 21:08:47,18.6853,12.9164,61.14,29,0,5.23
244,Fatehpur,IN,2021-01-20 21:08:27,25.9333,80.8,53.28,58,0,7.63
245,Tuktoyaktuk,CA,2021-01-20 21:07:14,69.4541,-133.0374,-0.4,85,90,5.75
246,Acapulco,MX,2021-01-20 21:08:47,16.8634,-99.8901,86.0,66,20,11.5
247,Springfield,US,2021-01-20 21:05:16,37.2153,-93.2982,48.99,40,90,11.5
248,Fasa,IR,2021-01-20 21:08:48,28.9383,53.6482,53.6,26,0,4.12
249,Pecos,US,2021-01-20 21:08:48,31.4229,-103.4932,48.2,61,1,1.12
250,Tasiilaq,GL,2021-01-20 21:08:48,65.6145,-37.6368,10.4,67,0,3.44
251,Kununurra,AU,2021-01-20 21:08:48,-15.7667,128.7333,77.0,100,40,3.44
252,Iqaluit,CA,2021-01-20 21:08:48,63.7506,-68.5145,5.0,72,75,20.71
253,Saint-Augustin,CA,2021-01-20 21:08:48,51.226,-58.6502,10.4,87,100,15.95
254,Starkville,US,2021-01-20 21:07:50,33.4504,-88.8184,57.0,46,1,2.98
255,Kourou,GF,2021-01-20 21:08:48,5.1552,-52.6478,82.4,74,75,9.22
256,Kulhudhuffushi,MV,2021-01-20 21:08:49,6.6221,73.07,80.98,71,6,6.31
257,Brae,GB,2021-01-20 21:08:49,60.3964,-1.353,41.0,75,75,26.46
258,Sale,MA,2021-01-20 21:08:49,34.0389,-6.8166,57.2,94,90,17.27
259,Isangel,VU,2021-01-20 21:08:49,-19.55,169.2667,80.67,79,99,9.57
260,Muros,ES,2021-01-20 21:08:49,42.7762,-9.0603,55.99,90,57,5.99
261,Machhlishahr,IN,2021-01-20 21:08:49,25.6833,82.4167,52.75,64,0,7.45
262,Castanos,MX,2021-01-20 21:08:49,26.7833,-101.4167,57.0,87,90,3.78
